Player,Season,Age,Nation,Team,Comp,Pos,PKatt,PK,PKm,Conversion%,conversion_rate
Cristiano Ronaldo,2011-2012,26.0,pt POR,Real Madrid,La Liga,"FW,MF",13.0,12.0,1.0,92.31,0.9230769230769232
Salva Ballesta,1999-2000,24.0,es ESP,Racing Sant,La Liga,FW,12.0,11.0,1.0,91.67,0.9166666666666666
Andrew Johnson,2004-2005,23.0,eng ENG,Crystal Palace,EPL,FW,12.0,10.0,2.0,83.33,0.8333333333333334
Alan Shearer,1994-1995,23.0,eng ENG,Blackburn,EPL,FW,12.0,10.0,2.0,83.33,0.8333333333333334
Steven Gerrard,2013-2014,33.0,eng ENG,Liverpool,EPL,MF,11.0,10.0,1.0,90.91,0.9090909090909092
Luka Milivojević,2018-2019,27.0,rs SRB,Crystal Palace,EPL,MF,11.0,10.0,1.0,90.91,0.9090909090909092
Frank Lampard,2009-2010,31.0,eng ENG,Chelsea,EPL,MF,11.0,10.0,1.0,90.91,0.9090909090909092
Cristiano Ronaldo,2014-2015,29.0,pt POR,Real Madrid,La Liga,"FW,MF",12.0,10.0,2.0,83.33,0.8333333333333334
Lionel Messi,2011-2012,24.0,ar ARG,Barcelona,La Liga,"FW,MF",11.0,10.0,1.0,90.91,0.9090909090909092
Gerard Moreno,2020-2021,28.0,es ESP,Villarreal,La Liga,FW,10.0,10.0,0.0,100.0,1.0
Bruno Fernandes,2020-2021,25.0,pt POR,Manchester Utd,EPL,MF,10.0,9.0,1.0,90.0,0.9
Ruud van Nistelrooy,2002-2003,26.0,nl NED,Manchester Utd,EPL,FW,9.0,9.0,0.0,100.0,1.0
Mohamed Salah,2024-2025,32.0,eg EGY,Liverpool,EPL,FW,9.0,9.0,0.0,100.0,1.0
Cole Palmer,2023-2024,21.0,eng ENG,2 Teams,EPL,"FW,MF",9.0,9.0,0.0,100.0,1.0
Jamie Vardy,2020-2021,33.0,eng ENG,Leicester City,EPL,FW,9.0,8.0,1.0,88.89,0.8888888888888888
Juan Román Riquelme,2004-2005,26.0,ar ARG,Villarreal,La Liga,MF,8.0,8.0,0.0,100.0,1.0
Radamel Falcao,2012-2013,26.0,co COL,Atlético Madrid,La Liga,FW,8.0,8.0,0.0,100.0,1.0
David Villa,2008-2009,26.0,es ESP,Valencia,La Liga,"FW,MF",8.0,8.0,0.0,100.0,1.0
Cristiano Ronaldo,2010-2011,25.0,pt POR,Real Madrid,La Liga,"FW,MF",8.0,8.0,0.0,100.0,1.0
Santi Cazorla,2019-2020,34.0,es ESP,Villarreal,La Liga,MF,8.0,8.0,0.0,100.0,1.0
Paul Pogba,2018-2019,25.0,fr FRA,Manchester Utd,EPL,MF,10.0,7.0,3.0,70.0,0.7
Alan Shearer,2003-2004,32.0,eng ENG,Newcastle Utd,EPL,FW,10.0,7.0,3.0,70.0,0.7
Jorginho,2020-2021,28.0,it ITA,Chelsea,EPL,MF,9.0,7.0,2.0,77.78,0.7777777777777778
Luka Milivojević,2017-2018,26.0,rs SRB,Crystal Palace,EPL,MF,8.0,7.0,1.0,87.5,0.875
James Milner,2016-2017,30.0,eng ENG,Liverpool,EPL,"DF,MF",8.0,7.0,1.0,87.5,0.875
Erling Haaland,2023-2024,23.0,no NOR,Manchester City,EPL,FW,8.0,7.0,1.0,87.5,0.875
Charlie Adam,2010-2011,24.0,sct SCO,Blackpool,EPL,MF,8.0,7.0,1.0,87.5,0.875
Thierry Henry,2003-2004,25.0,fr FRA,Arsenal,EPL,FW,7.0,7.0,0.0,100.0,1.0
Erling Haaland,2022-2023,22.0,no NOR,Manchester City,EPL,FW,7.0,7.0,0.0,100.0,1.0
Karim Benzema,2021-2022,33.0,fr FRA,Real Madrid,La Liga,FW,11.0,7.0,4.0,63.64,0.6363636363636364
Carlos Soler,2020-2021,23.0,es ESP,Valencia,La Liga,MF,9.0,7.0,2.0,77.78,0.7777777777777778
Apoño,2008-2009,24.0,es ESP,Málaga,La Liga,MF,8.0,7.0,1.0,87.5,0.875
José Luis García Vayá,2023-2024,24.0,es ESP,Valencia,La Liga,MF,8.0,7.0,1.0,87.5,0.875
Ronaldinho,2006-2007,26.0,br BRA,Barcelona,La Liga,"FW,MF",8.0,7.0,1.0,87.5,0.875
Ronaldinho,2005-2006,25.0,br BRA,Barcelona,La Liga,"FW,MF",8.0,7.0,1.0,87.5,0.875
Artem Dovbyk,2023-2024,26.0,ua UKR,Girona,La Liga,FW,8.0,7.0,1.0,87.5,0.875
Javi Moreno,2000-2001,25.0,es ESP,Alavés,La Liga,FW,8.0,7.0,1.0,87.5,0.875
Karim Benzema,2022-2023,34.0,fr FRA,Real Madrid,La Liga,FW,8.0,7.0,1.0,87.5,0.875
Ezequiel Garay,2006-2007,19.0,ar ARG,Racing Sant,La Liga,DF,8.0,7.0,1.0,87.5,0.875
