Team,Stadium,Location,Capacity_raw,Season,Tier,Country,SourceURL,Capacity,City,GeoPlace,MapLabel
Arsenal,Highbury,London (Highbury),38419,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,38419,London (Highbury),"Highbury, London (Highbury), England",Highbury (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,39399,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,39399,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Blackburn Rovers,Ewood Park,Blackburn,31367,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Chelsea,Stamford Bridge,London (Fulham),36000,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,36000,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Crystal Palace,Selhurst Park,London (Selhurst),26309,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,26309,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Crystal Palace) — London (Selhurst)
Everton,Goodison Park,Liverpool (Walton),40157,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,40157,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Ipswich Town,Portman Road,Ipswich,30300,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,30300,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Leeds United,Elland Road,Leeds,40204,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,40204,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Liverpool,Anfield,Liverpool (Anfield),42730,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,42730,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,Maine Road,Manchester (Moss Side),35150,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,35150,Manchester (Moss Side),"Maine Road, Manchester (Moss Side), England",Maine Road (Manchester City) — Manchester (Moss Side)
Manchester United,Old Trafford,Manchester (Old Trafford),55314,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,55314,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
